Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta316512,6080,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta316511,5590,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta316513,5580,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta316514,6050,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta316515,5590,40,,Trocs II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
Cova Fosca de la Vall d'Ebo,Eastern / Southern,38.81204444,-0.15295,OxA26047,6413,33,-18.3,U-Z,Neolithic,Bone,AMS,García Borja et al. 2012b,1,,,,,,,,,,,,,
Cova de Sant Llorenç,Northern,41.26028611,2.309411111,Beta299597,6160,40,,II,Neolithic,Seed/Fruit,,"Martins et al., 2015",1,,,,,,,,,,,,,
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Wk25171,6198,31,,Silo Este,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,1,,,,,,,,,,,,,
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313470,6100,40,,Cabaña,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,4,,,,,,,,,,,,,
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313471,6250,40,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,4,,,,,,,,,,,,,
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313472,6180,40,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,4,,,,,,,,,,,,,
Cueva de los Mármoles,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313473,6180,30,,-,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,4,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,OxA15646,6184,35,,A,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,OxA15647,6192,35,,A,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,2,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,OxA15648,6199,36,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,OxA15649,6056,35,,B,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta316509,6200,40,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,OxA15650,6170,37,,Silo 1969,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313475,5920,40,,B,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313476,6110,40,,C,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,Beta313477,6140,40,,A,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,GrN6169,6150,45,,C,Neolithic,Seed/Fruit,Conventional,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de los Murciélagos,Upper / Middle Guadiana-Guadalquivir,37.41443889,-4.237502778,GrN6639,6025,45,,C,Neolithic,Seed/Fruit,Conventional,Peña Chocarro et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26079,6207,32,-17.1,NM6,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26080,6196,31,-19.7,NM7,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26081,6219,33,,NM7,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26082,6214,35,-20.2,NM8,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26083,6252,33,-16.5,NM9,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26084,6254,33,-16.5,NM9,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26085,6342,37,-18.6,NM10,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26086,6466,33,,NM12,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,Beta131577,6590,40,,NV4,Neolithic,Bone,AMS,Aura et al. 2013,9,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,Beta369357,6300,40,,NV3,Neolithic,Bone,AMS,García Borja et al. 2014,3,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26077,5998,31,,NM5,Neolithic,Bone,AMS,García Borja et al. 2014,3,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,OxA26078,6149,31,,NM5,Neolithic,Bone,AMS,García Borja et al. 2014,3,,,,,,,,,,,,,
Cueva de Nerja,South Mediterranean,36.76199167,-3.840555556,Beta284147,6050,40,,NM5,Neolithic,Seed/Fruit,AMS,Aura et al. 2013,1,,,,,,,,,,,,,
Cueva del Toro,South Mediterranean,37.01261389,-4.373422222,Beta341131,6110,30,,IV,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,2,,,,,,,,,,,,,
Cueva del Toro,South Mediterranean,37.01261389,-4.373422222,Beta341132,6150,30,,IV,Neolithic,Seed/Fruit,AMS,Peña Chocarro et al. 2013,2,,,,,,,,,,,,,
Cueva Font Major,Northern,41.37770278,1.100458333,Beta317705,6310,40,,Ig,Neolithic,Bone,AMS,Oms et al. 2014,1,,,,,,,,,,,,,
El Barranquet,Eastern / Southern,38.92924444,-0.129905556,Beta221431,6510,50,,-,Neolithic,Bone,AMS,Rojo et al. 2012,1,,,,,,,,,,,,,
El Cavet,Northern,41.072125,1.061461111,OxA25802,6449,40,-24.3,UE 2012,Neolithic,Seed/Fruit,AMS,Oms et al. 2014,2,,,,,,,,,,,,,
El Cavet,Northern,41.072125,1.061461111,OxA26061,6536,36,-24.3,UE 2014,Neolithic,Seed/Fruit,AMS,Oms et al. 2014,2,,,,,,,,,,,,,
El Mirador,Upper / Middle Douro,42.34195,-3.506944444,Beta208134,6300,50,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008,5,,,,,,,,,,,,,
El Mirador,Upper / Middle Douro,42.34195,-3.506944444,Beta208133,6110,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008,5,,,,,,,,,,,,,
El Mirador,Upper / Middle Douro,42.34195,-3.506944444,Beta197384,6070,50,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008,5,,,,,,,,,,,,,
El Mirador,Upper / Middle Douro,42.34195,-3.506944444,Beta208132,6090,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008,5,,,,,,,,,,,,,
El Mirador,Upper / Middle Douro,42.34195,-3.506944444,Beta220914,6080,40,,-,Neolithic,Seed/Fruit,AMS,Vergés et al. 2008,5,,,,,,,,,,,,,
El Mirón,Cantabrian,43.24531111,-3.452519444,GX309010,5550,40,,-,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,1,,,,,,,,,,,,,
El Tonto,Upper / Middle Tagus,39.93042778,-3.943427778,Beta317251,6230,30,,-,Neolithic,Bone,AMS,"Bernabeu et al., 2015",1,,,,,,,,,,,,,
Hostal Guadalupe,South Mediterranean,36.61968889,-4.494786111,Wk25167,6249,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012,3,,,,,,,,,,,,,
Hostal Guadalupe,South Mediterranean,36.61968889,-4.494786111,Ua34136,6190,50,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012,3,,,,,,,,,,,,,
Hostal Guadalupe,South Mediterranean,36.61968889,-4.494786111,Wk25168,6197,35,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012,3,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,Beta278255,6270,40,,I,Neolithic,Bone,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,Beta278256,6170,40,,I,Neolithic,Bone,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,OxA20231,6163,31,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,Oxa20232,6121,33,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,OxA20233,6179,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,Oxa20234,6127,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,OxA20235,6143,33,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Draga,Northern,42.12703611,2.758611111,UBAR313,6010,70,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Lampara,Upper / Middle Douro,41.276075,-2.040502778,UtC13346,6280,50,,Estructura 1,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012,9,,,,,,,,,,,,,
La Paleta,Upper /Middle Tagus,40.10145833,-3.855811111,Beta223091,5850,40,,Hoyo 175,Neolithic,Bone,,Jiménez Guijarro 2010,2,,,,,,,,,,,,,
